Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Dominican Republic,DOM,0,0,0,0,0,0.017233601,0.074987053,0.142687565,0.233914189,1.104743874,3.704692356,4.429390697,6.823725733,7.898392937,8.865553461,11.48319778,14.84492837,17.66,20.82,27.72,31.4,38,42.32,45.9,49.58,54.21576634,63.87086474,67.57124533,74.82204836,75.8,76.9,
Algeria,DZA,0,0,0,0,0.000360674,0.001768954,0.001738533,0.010268463,0.020238555,0.199523843,0.491705679,0.646114017,1.59164126,2.195359731,4.634475088,5.843942092,7.375984956,9.451190626,10.18,11.23,12.5,14.9,18.2,22.5,29.5,38.2,42.94552688,47.69105515,49.03846808,57.9,62.9,
East Asia & Pacific (excluding high income),EAP,0,1.79E-06,2.35E-05,0.000874958,0.003637682,0.011840086,0.033627578,0.094097722,0.323181779,0.852457294,1.893864676,2.778007096,4.40527733,5.75987423,6.879617375,8.313006025,10.16801889,14.38495551,19.27250855,23.78898317,28.97978016,32.40427946,35.75584725,38.32346661,41.21937914,44.15290412,47.67554633,50.0671344,55.73529561,60.55893543,66.59196271,
Early-demographic dividend,EAR,0.000242858,0.000959208,0.002356958,0.0054494,0.011410465,0.040377669,0.080194474,0.162571964,0.342002339,0.610515181,1.227261193,1.682055022,2.828285848,3.395432029,4.201648124,4.873934565,5.752670954,7.314519934,8.473965876,9.664196844,12.79285702,15.36355347,17.10776231,18.99934023,21.46585231,24.47004385,27.16990606,30.44538957,33.20463022,39.68158354,48.29986381,
East Asia & Pacific,EAS,0.007210875,0.014867534,0.031197618,0.06218368,0.107776621,0.193066879,0.467536911,1.083685583,1.885414684,3.417878198,5.609240705,7.278347751,9.03017047,10.57861929,12.62815282,14.6864727,16.63749845,20.79045747,25.28549312,29.55066235,34.27050505,37.40226005,40.4521747,43.3115593,46.091002,48.87998914,52.24225035,54.3732285,59.51553839,63.94029646,69.21808706,
Europe & Central Asia (excluding high income),ECA,0,0,0.000280207,0.007099495,0.032910301,0.085227059,0.186326041,0.355747289,0.576011454,1.005753779,1.869851375,2.777018541,4.91684719,7.198849248,10.44455732,11.89058299,14.41767262,19.88802845,25.34953007,32.07451723,37.64109093,43.95397939,49.77444265,52.9035574,56.97857206,58.85616389,62.54529192,66.34070097,72.6789529,76.78713197,80.1896819,
Europe & Central Asia,ECS,0.048057837,0.101974968,0.180908245,0.280383196,0.525900906,0.993127406,1.841429632,3.355169768,5.431180782,9.225803893,13.15625619,16.38033872,23.00713358,28.30975791,32.2957315,35.16140065,38.03142574,43.63716854,48.18250213,52.76033173,57.08757979,60.27293128,63.95801223,66.31938858,68.98341636,70.01831428,72.39662256,74.52881666,78.92040674,81.82335109,83.88905329,
Ecuador,ECU,0,0,0.005118035,0.016400751,0.034833586,0.043833641,0.086161276,0.110217959,0.125272771,0.823371634,1.462188536,2.670443674,4.260796915,4.460228345,4.834442638,5.994255161,7.2,10.8,18.8,24.6,29.03,31.36680836,35.13514645,40.27912194,45.59039067,48.94043379,54.06292473,55.8,57.5,61.6,64.6,
"Egypt, Arab Rep.",EGY,0,0,0,0.000975791,0.00638327,0.031319638,0.061466899,0.090480245,0.147987377,0.290445278,0.641265038,0.838945611,2.719999715,4.037885107,11.92,12.75,13.66,16.03,18.01,20,21.6,25.6,26.4,29.4,33.89460391,37.81938343,41.24806709,44.95020425,46.92433677,57.2828664,71.91420097,
Euro area,EMU,0.072533659,0.160173021,0.311158038,0.459291041,0.829154398,1.667650071,2.880524164,5.097867571,8.004288293,15.19856263,22.46602309,27.30764859,35.08318583,42.00888199,47.37316244,51.1537094,54.84001905,61.31145851,64.79549136,67.10514392,71.0268965,72.01351298,74.11892682,75.85040857,77.08923661,77.47168696,77.96842653,79.64010814,82.98396015,84.82612004,85.26189322,
Eritrea,ERI,0,0,0,0,0,0,0,0.009017718,0.008774236,0.025495028,0.136711941,0.157815289,0.227090138,,,,,0.41,0.47,0.54,0.61,0.7,0.8,0.9,0.99,1.083733116,1.17711872,1.30890698,,,,
Spain,ESP,0.012873564,0.025686194,0.076845453,0.127689668,0.280069738,0.380800728,1.331847404,2.803319625,4.361892394,7.085039678,13.62496081,18.14872269,20.39,39.93,44.01,47.88,50.37,55.11,59.6,62.4,65.8,67.08999939,69.80999994,71.635,76.19,78.68963187,80.56133294,84.6022457,86.10723553,90.71866533,93.20564892,
Estonia,EST,0,0,0.065484797,0.300711282,1.159750913,2.778968489,3.525111129,5.706276548,10.79603483,14.50089724,28.57695381,31.52748977,41.52,45.32,53.2,61.45,63.51,66.19,70.58,72.5,74.1,76.5,78.38992593,80.0043,84.24152803,88.4097035,87.24023275,88.10245687,89.35700777,90.2289282,89.05828666,
Ethiopia,ETH,0,0,0,0,0,1.75E-05,0.001703448,0.00496672,0.009663517,0.012541599,0.015263767,0.037162381,0.072402262,0.105811659,0.155334521,0.219659819,0.310592657,0.37,0.45,0.54,0.75,1.1,2.9,4.6,7.7,13.85517556,15.36692386,18.61805145,20,22,24,
European Union,EUU,0.066722373,0.145183746,0.27183936,0.415061288,0.785199203,1.514689422,2.624622872,4.802360845,7.693032379,13.62786044,19.6471689,24.13899345,32.12826306,38.60779465,44.1873074,48.30194366,52.55020496,58.24910496,62.25009477,64.99283522,68.69564215,69.66177789,71.85745131,73.61036925,75.18550451,75.65441583,76.89717496,78.68381265,81.73837314,83.84421329,84.7434799,
Fragile and conflict affected situations,FCS,0,0,0.000534422,0.001827077,0.002544668,0.006363173,0.019944611,0.04432127,0.117595834,0.222506469,0.332312984,0.377773577,0.668350951,0.917159407,1.305905647,2.305666772,3.231898147,4.395938833,4.985349418,6.250662756,7.952578594,9.166871098,10.97545765,12.86739569,15.05582727,17.73108048,20.18984259,23.14980163,25.53025234,28.23174443,28.41175612,
Finland,FIN,0.40108767,1.397439332,1.88687977,2.568461349,4.915098554,13.90030389,16.78007526,19.4586828,25.45252493,32.29509229,37.24846174,43.10536335,62.43,69.22,72.39,74.48,79.66,80.78,83.67,82.49,86.89,88.70999491,89.87999797,91.5144,86.53039275,86.42213333,87.70364996,87.46892907,88.88996,89.60738511,92.17,
Fiji,FJI,0,0,0,0.006678447,0.007907399,0.009115343,0.064437142,0.223454842,0.633167865,0.942462063,1.496854734,1.857978594,6.1526497,6.725434738,7.412943485,8.453636634,9.6000384,10.89783105,13,17,20,28,33.74235675,35.2,37.4,42.5,49.42,65.78,68.9,,,
France,FRA,0.052777862,0.140113895,0.279049463,0.590619383,0.899867425,1.637947245,2.584033979,4.255003872,6.319778722,9.125317889,14.30792394,26.32590355,30.18,36.14,39.15,42.87,46.87,66.09,70.68,71.58,77.28,77.81999899,81.44,81.9198,83.75,78.00603771,79.26981132,80.50245972,82.04318678,83.33974409,84.8,
Faroe Islands,FRO,0,0,0,0,0,0,2.318786811,4.601297566,11.33786848,22.29753835,32.91639236,43.24698352,53.29922183,58.91264097,66.53359947,67.90263174,69.35944512,75.98,75.57,75.18,75.2,80.7321728,85.33518924,90,93.3,94.2,95.10868167,97.58195894,,,,
"Micronesia, Fed. Sts.",FSM,0,0,0,0,0,0,0.278037795,0.570676845,1.858718785,2.797594069,3.734862137,4.660527199,5.570099705,9.2325021,11.01786731,11.8813691,12.75033925,13.62113273,14.49,15.35,20,22.8,25.974423,27.8,29.65,31.50108128,33.35216255,35.30405287,,,,
Gabon,GAB,0,0,0,0,0,0,0,0.047999009,0.17012488,0.249009564,1.216140618,1.347620222,1.939530106,2.659586594,2.9790698,4.89326475,5.489200803,5.767004576,7.5,9.5,13,18,24,30.53803344,38.07120929,45.78453653,48.05227375,50.32012015,59.6,61,62,
United Kingdom,GBR,0.087355319,0.174230922,0.260615159,0.519762001,1.036609166,1.895168284,4.123650336,7.385398957,13.6699831,21.29363827,26.82175435,33.48109487,56.48,64.82,65.61,70,68.82,75.09,78.39,83.56,85,85.37999855,87.47999842,89.8441,91.61,92.00029987,94.77580063,90.42455049,90.69200899,92.51662855,94.81820132,
Georgia,GEO,0,0,0,0,0,0.011836885,0.040065419,0.060930333,0.102830957,0.416343567,0.484746299,0.992344436,1.58787563,2.558816481,3.886221354,6.079457629,7.526876845,8.26,10.01,20.07,26.9,31.52,36.94,43.3,44,47.56975964,58.45928961,59.7055046,62.7179082,68.84670565,72.53158402,
Ghana,GHA,0,0,0,0,0,0.000347918,0.005648763,0.027537542,0.032240443,0.104895466,0.153615298,0.20000806,0.830284034,1.193057911,1.716797704,1.831197461,2.723175973,3.85,4.27,5.44,7.8,9,10.6,15,19,23,28,37.88415262,43,53,58,
Gibraltar,GIB,0,0,0,0,0,0,,2.662907268,4.183794329,5.936978297,19.13163812,21.17110944,23.67023975,28.32577979,32.88608261,39.07013088,45.29864751,51.61,58,65.07,65,65,65.017,,,,94.44447158,,,,,
